Year,Gold,Silver,Bronze,Total
2011,12,9,21,42
2012,13,8,21,42
2013,17,12,19,48
2014,11,14,19,44
2015,21,24,23,68
2016,,,,76
2017,24,12,22,58
2018,26,30,21,77
2019,17,17,20,54
