2,Santos Caitlyn,Team British Columbia,,CANADA
3,VEILLETTE JESSICA,Karate Quebec,,CANADA
4,Tamaki Emma,Team British Columbia,,CANADA
Kumite Individual Female - Cadet -54 kg,,,,
Kumite Individual Female - Cadet -54 kg,,,,
1,ROCHETTE MÉGAN,Karate Quebec,,CANADA
2,Sokolovski Anna,OKF Team Ontario,,CANADA
3,SÉNÉCHAL CATHERINE,Karate Quebec,,CANADA
4,Soehardhi Maya,Team British Columbia,,CANADA
Kumite Individual Female - Junior +59 kg,,,,
Kumite Individual Female - Junior +59 kg,,,,
1,Bratic Tina,OKF Team Ontario,,CANADA
2,HALIDI SOPHIAT-GRACIAS,Karate Quebec,,CANADA
3,Nouri Setareh,Team British Columbia,,CANADA
4,MORIN-MARCYNIUK ORLANE,Karate Quebec,,CANADA
Kumite Individual Female - Junior -48 kg,,,,
Kumite Individual Female - Junior -48 kg,,,,
1,Lam Caitlyn,Team British Columbia,,CANADA
2,VEILLEUX CHLOÉ,Karate Quebec,,CANADA
3,Zaborniak Stephanie,Team British Columbia,,CANADA
4,Fritz Kyla,Team Alberta,,CANADA
Kumite Individual Female - Junior -53 kg,,,,
Kumite Individual Female - Junior -53 kg,,,,
1,Soehardhi Maya,Team British Columbia,,CANADA
2,LAHYANSSA YAMINA,Karate Quebec,,CANADA
3,Dhillon Sachreet,Team British Columbia,,CANADA
4,ROY_VAN_MIERLO AIDA,Karate Quebec,,CANADA
Kumite Individual Female - Junior -59 kg,,,,
Kumite Individual Female - Junior -59 kg,,,,
1,Maclean Julia,Team British Columbia,,CANADA
2,Najafi Nika,Team British Columbia,,CANADA
3,LEMOYNE-ELLIOTT CHRISTINA,Karate Quebec,,CANADA
4,POIRIER AUDREY,Karate Quebec,,CANADA
Kumite Individual Female - Senior +68 kg,,,,
Kumite Individual Female - Senior +68 kg,,,,
1,Boisvenue Camélie,Karate Quebec,,CANADA
,,(c)sportdata GmbH & Co KG 2000-2018(2018-03-11,,
,,17:45) -WKF Approved- v 9.6.2 build 1 License:EL Karate,,3 / 11
,,Canada National Championships 2018 (expire 2018-03-29),,
,,Karate Canada National,
,,Championships 2018 - 2018-03-09,
,,Official Results,
2,Hathi Yashna,Karate New Brunswick,CANADA
3,KULENKAMP ANNE,Karate Quebec,CANADA
4,Lavei Samira,OKF Team Ontario,CANADA
Kumite Individual Female - Senior -50 kg,,,
Kumite Individual Female - Senior -50 kg,,,
1,Virk Jusleen,Team British Columbia,CANADA
2,Carrière Vicky,Karate Quebec,CANADA
3,Chan Isabel,Team British Columbia,CANADA
4,FORTIN-DELISLE ISABELLE,Karate Quebec,CANADA
Kumite Individual Female - Senior -55 kg,,,
Kumite Individual Female - Senior -55 kg,,,
1,Deveau Trysten,Team Nova Scotia,CANADA
2,Zolotarova Valentyna,Team British Columbia,CANADA
3,MOKARNIA MYRIAM,Karate Quebec,CANADA
4,Sirabian Ashley,OKF Team Ontario,CANADA
Kumite Individual Female - Senior -61 kg,,,
Kumite Individual Female - Senior -61 kg,,,
1,Mayan Parvin,Team British Columbia,CANADA
2,Desjardins Kamille,Karate Quebec,CANADA
3,FURUMOTO-DESHAIES HANA,Karate Quebec,CANADA
4,Blunt Mariah,Team Alberta,CANADA
Kumite Individual Female - Senior -68 kg,,,
Kumite Individual Female - Senior -68 kg,,,
1,Boulé Marianne,Karate Quebec,CANADA
2,Zaborniak Alexandra,Team British Columbia,CANADA
3,Pond Hilary,Karate New Brunswick,CANADA
4,Gordon Lea,OKF Team Ontario,CANADA
Kumite Individual Female - U21 +68 kg,,,
Kumite Individual Female - U21 +68 kg,,,
1,Fookes Danielle,Team British Columbia,CANADA
