Year,Athlete,Result,Event,Category,Age Group,Classification,Team Result,,,,
2012,Andrea Maikawa,,kumite,,Senior,Senior,3,,,,
2012,Jusleen Virk,,kumite,,Senior,Senior,3,,,,
2013,Alexandra Zaborniak,2,kumite,U16 -54,Cadet,Junior,,,,,
2013,Harpreet Sidhu,2,kumite,U18 +59,Junior,Junior,,,,,
2013,Isabel Chan,1,kumite,U16 -48,Cadet,Junior,,,,,
2013,Rachel Ko,3,kumite,U16 -48,Cadet,Junior,,,,,
2013,Kim Logan,3,kumite,18+ +68,Senior,Senior,,,,,
2013,Jusleen Virk,1,kumite,18+ -50,Senior,Senior,,,,,
2013,CIndy Jacob,3,kumite,18+ -68,Senior,Senior,,,,,
2013,Anisha Virk,3,kumite,U21 -53,U21,Junior,,,,,
2013,Isaac Mand,1,kumite,U16 -57,Cadet,Junior,,,,,
2013,Joel Tai,3,kumite,U16 -57,Cadet,Junior,,,,,
2013,Kyle Macmillan,3,kumite,U16 -63,Cadet,Junior,,,,,
2013,Brendon Ly,1,kumite,U18 +76,Junior,Junior,,,,,
2013,Callan Evans,2,kumite,U18 +76,Junior,Junior,,,,,
2013,Shaun Dhillon,1,kumite,18+ +84,Senior,Senior,,,,,
2013,Arash Beytoei,1,kumite,18+ -67,Senior,Senior,2,,,,
2013,Matthew Ly,3,kumite,18+ -67,Senior,Senior,,,,,
2013,Shaun Dhillon,1,kumite,18+ Open,Senior,Senior,2,,,,
2013,Cedomir Vasic,2,kumite,U21 +78,U21,Junior,2,,,,
2013,Matthew Ly,2,kumite,U21 -68,U21,Junior,2,,,,
2013,Matt Bickel,,kumite,,Senior,Senior,2,,,,
2014,Aya Kitaoka,1,kumite,U16 +54,Cadet,Junior,,,,,
2014,Cassia Kitaoka,2,kumite,U16 +54,Cadet,Junior,,,,,
2014,Zoe Fong,2,kumite,U16 -47,Cadet,Junior,,,,,
2014,Alexandra Zaborniak,3,kumite,U16 -54,Cadet,Junior,,,,,
2014,Vanessa Vung,2,kumite,U18 -48,Junior,Junior,,,,,
2014,Gurkamel Gill,3,kumite,U18 -53,Junior,Junior,,,,,
2014,Alexandra Zaborniak,1,kumite,U18 -59,Junior,Junior,,,,,
2014,Jusleen Virk,1,kumite,18+ -50,Senior,Senior,,,,,
2014,Jusleen Virk,3,kumite,18+ Open,Senior,Senior,,,,,
2014,Reid Loftstrom,3,kumite,U21 +60,U21,Junior,,,,,
2014,Anisha Virk,2,kumite,U21 -53,U21,Junior,,,,,
2014,Josh Dhillon,1,kumite,U16 -52,Cadet,Junior,,,,,
2014,Kieran Quan,3,kumite,U16 -52,Cadet,Junior,,,,,
2014,Jai Sanghera,3,kumite,U16 -70,Cadet,Junior,,,,,
2014,Brendon Ly,1,kumite,U18 +76,Junior,Junior,,,,,
2014,Isaac Mand,1,kumite,U18 -55,Junior,Junior,,,,,
2014,Kyle Macmillan,3,kumite,U18 -68,Junior,Junior,,,,,
2014,Derek Chan,3,kumite,18+ -60,Senior,Senior,,,,,
2015,Zoe Fong,1,kumite,U16 -47,Cadet,Junior,,,,,
2015,Stephanie Zaborniak,2,kumite,U16 -47,Cadet,Junior,,,,,
2015,Melissa Chan,3,kumite,U16 -47,Cadet,Junior,,,,,
2015,Pawan Sidhu,2,kumite,U18 +59,Junior,Junior,,,,,
2015,Isabel Chan,2,kumite,U18 -48,Junior,Junior,,,,,
2015,Alexandra Zaborniak,1,kumite,U18 -59,Junior,Junior,,,,,
2015,Jusleen Virk,1,kumite,18+ -50,Senior,Senior,,,,,
2015,CIndy Jacob,3,kumite,18+ -68,Senior,Senior,3,,,,
2015,Harpreet Sidhu,2,kumite,U21 +68,U21,Junior,3,,,,
2015,Isabel Chan,2,kumite,U21 -50,U21,Junior,,,,,
2015,Gurkamel Gill,2,kumite,U21 -55,U21,Junior,3,,,,
2015,Josh Dhillon,1,kumite,U16 -52,Cadet,Junior,,,,,
2015,Kieran Quan,3,kumite,U16 -52,Cadet,Junior,,,,,
2015,Joel Tai,2,kumite,U16 -57,Cadet,Junior,,,,,
2015,Aarjan Gill,3,kumite,U16 -57,Cadet,Junior,,,,,
2015,Jacob Mand,2,kumite,U16 -63,Cadet,Junior,,,,,
2015,Brendan Wise,3,kumite,U16 -70,Cadet,Junior,,,,,
2015,Josh Dhillon,2,kumite,U16 -55,Cadet,Junior,,,,,
2015,Isaac Mand,3,kumite,U16 -55,Cadet,Junior,,,,,
2015,Brendon Ly,3,kumite,18+ +84,Senior,Senior,,,,,
