"RESULTS
Karate Canada National Championship 2013 - Results",,,
"Search:
CATEGORIES
KATA INDIVIDUAL FEMALE CADETS","RANK NAME
1 BRATIC MELISSA",,"CLUB
TEAM ONTARIO"
KATA INDIVIDUAL FEMALE CADETS,2,FURUMOTO-DESHAIES LISA,TEAM QUÉBEC
KATA INDIVIDUAL FEMALE CADETS,3,LEE SHALENE,TEAM BRITISH COLUMBIA
KATA INDIVIDUAL FEMALE CADETS,3,LAOS-LOO CLAUDIA,TEAM BRITISH COLUMBIA
KATA INDIVIDUAL FEMALE CADETS,5,HEENAN DARBYANH,TEAM BRITISH COLUMBIA
KATA INDIVIDUAL FEMALE CADETS,5,CHARRON KAYLEE,TEAM QUÉBEC
KATA INDIVIDUAL FEMALE JUNIORS,1,FURUMOTO-DESHAIES HANA,TEAM QUÉBEC
KATA INDIVIDUAL FEMALE JUNIORS,2,KLISARA MONIKA,TEAM ONTARIO
KATA INDIVIDUAL FEMALE JUNIORS,3,MICHAUD CAMILLE,TEAM QUÉBEC
KATA INDIVIDUAL FEMALE JUNIORS,3,HOURAHINE JULIA,TEAM ONTARIO
KATA INDIVIDUAL FEMALE JUNIORS,5,BLUNT MARIAH,TEAM ALBERTA
KATA INDIVIDUAL FEMALE JUNIORS,5,CHARRON SABRINA,TEAM QUÉBEC
KATA INDIVIDUAL FEMALE SENIORS,1,NGO RITA,TEAM BRITISH COLUMBIA
KATA INDIVIDUAL FEMALE SENIORS,2,TRAHAN-PERREAULT DAPHNÉ,"CANADA TRADITIONAL GOJU-RYU KARATE DO
ASSOCIATION"
KATA INDIVIDUAL FEMALE SENIORS,3,UCHIAGE SUMI,TEAM BRITISH COLUMBIA
KATA INDIVIDUAL FEMALE SENIORS,3,FURUMOTO-DESHAIES HANA,TEAM QUÉBEC
KATA INDIVIDUAL FEMALE SENIORS,5,BAGHERZADEH MARYAM,TEAM ONTARIO
KATA INDIVIDUAL FEMALE SENIORS,5,TERRA KATHLEEN,TEAM ONTARIO
KATA INDIVIDUAL FEMALE SENIORS,7,CHRÉTIEN CAROLINE,TEAM QUÉBEC
KATA INDIVIDUAL FEMALE U21,1,BARUSIC VICTORIA,TEAM BRITISH COLUMBIA
KATA INDIVIDUAL FEMALE U21,2,ALVAREZ BERNADETTE,TEAM BRITISH COLUMBIA
KATA INDIVIDUAL FEMALE U21,3,REMONDINI ALEXANDRA,TEAM ALBERTA

KATA INDIVIDUAL FEMALE U21,3,FERREIRA ELIZABETH,TEAM ONTARIO
KATA INDIVIDUAL FEMALE U21,5,MAHER MORGAN,TEAM BRITISH COLUMBIA
KATA INDIVIDUAL FEMALE U21,5,KRYSTANTOS SAMANTHA,TEAM ONTARIO
KATA INDIVIDUAL FEMALE U21,7,BURRY MEGHAN,KARATE PEI
KATA INDIVIDUAL MALE CADETS,1,KIM TREVOR,TEAM BRITISH COLUMBIA
KATA INDIVIDUAL MALE CADETS,2,ESUFALI ASAD,TEAM ONTARIO
KATA INDIVIDUAL MALE CADETS,3,GAUTHIER ANTOINE,TEAM QUÉBEC
KATA INDIVIDUAL MALE CADETS,3,BOND WILLIAM,TEAM QUÉBEC
KATA INDIVIDUAL MALE CADETS,5,YAO Y. PHILIP,TEAM ONTARIO
KATA INDIVIDUAL MALE CADETS,5,DONG NATHAN,TEAM BRITISH COLUMBIA
KATA INDIVIDUAL MALE CADETS,7,BEAUPRE MICHAEL,TEAM MANITOBA
KATA INDIVIDUAL MALE CADETS,7,RIVEST ALEXANDRE-BENJAMIN,TEAM QUÉBEC
KATA INDIVIDUAL MALE JUNIORS,1,NGUYEN TAN,TEAM BRITISH COLUMBIA
KATA INDIVIDUAL MALE JUNIORS,2,SAWAL JOHN,TEAM BRITISH COLUMBIA
KATA INDIVIDUAL MALE JUNIORS,3,SILVA RAFAEL,TEAM ALBERTA
KATA INDIVIDUAL MALE JUNIORS,3,KWONG EVAN,TEAM BRITISH COLUMBIA
KATA INDIVIDUAL MALE JUNIORS,5,ESUFALI AMIR,TEAM ONTARIO
KATA INDIVIDUAL MALE JUNIORS,5,FILLION JEAN-DANIEL,TEAM QUÉBEC
KATA INDIVIDUAL MALE JUNIORS,7,SWINIMER AIDAN,KARATE NOVA SCOTIA
KATA INDIVIDUAL MALE JUNIORS,7,MARSHALL LIAM,TEAM MANITOBA
KATA INDIVIDUAL MALE SENIORS,1,UCHIAGE TOSHI,TEAM BRITISH COLUMBIA
KATA INDIVIDUAL MALE SENIORS,2,NGUYEN THIEN,TEAM BRITISH COLUMBIA
KATA INDIVIDUAL MALE SENIORS,3,CHUNG LEIVIN,TEAM ONTARIO
KATA INDIVIDUAL MALE SENIORS,3,LEE KENNETH,TEAM BRITISH COLUMBIA
KATA INDIVIDUAL MALE SENIORS,5,TAKEUCHI SEIYA,TEAM BRITISH COLUMBIA
KATA INDIVIDUAL MALE SENIORS,5,GRECH SEAN,TEAM ONTARIO
KATA INDIVIDUAL MALE SENIORS,7,RIVEST NICHOLAS-PATRICK,TEAM QUÉBEC

,KATA INDIVIDUAL MALE SENIORS,7,SILVA RAFAEL,TEAM ALBERTA
KATA INDIVIDUAL MALE U21,,1,SANTILLIAN PAULO,TEAM BRITISH COLUMBIA
,KATA INDIVIDUAL MALE U21,2,NGUYEN THIEN,TEAM BRITISH COLUMBIA
,KATA INDIVIDUAL MALE U21,3,JOE CHRISTOPHER,TEAM BRITISH COLUMBIA
,KATA INDIVIDUAL MALE U21,3,TAKEUCHI SEIYA,TEAM BRITISH COLUMBIA
,KATA INDIVIDUAL MALE U21,5,DAVID JOSHUA,TEAM ONTARIO
,KATA INDIVIDUAL MALE U21,5,BENKHADRA AIMAN,TEAM QUÉBEC
,KATA INDIVIDUAL MALE U21,7,COADY JOSHUA,TEAM NEWFOUNDLAND & LABRADOR
,KATA INDIVIDUAL MALE U21,7,PARARASASINGAM PRASHAN,TEAM ONTARIO
"KATA TEAM FEMALE CADETS AND
JUNIORS",,1,"ONTARIO JUNIOR FEMALE TEAM KATA(BHATHHA, BHATHHA, RAI)",TEAM ONTARIO
"KATA TEAM FEMALE CADETS AND
JUNIORS",,2,NULL(NULL),KARATE CANADA
KATA TEAM MALE CADETS AND JUNIORS,,1,"BRITISH COLUMBIA(FOLKES, NEWELL, NEWELL)",TEAM BRITISH COLUMBIA
"KATA TEAM MALE CADETS AND
JUNIORS",,2,"ONTARIO JUNIOR MALE TEAM KATA(KELLERMAN-THOMPSON, KUEHN,
SOMMIER)",TEAM ONTARIO
KATA TEAM MALE SENIORS,,1,"BRITISH COLUMBIA(CHAN, SANTILLIAN, SAWAL)",TEAM BRITISH COLUMBIA
,KATA TEAM MALE SENIORS,2,"ONTARIO SENIOR MALE TEAM KATA(CHUNG, CHUNG, MCADAM-
WONG)",TEAM ONTARIO
KUMITE INDIVIDUAL FEMALE CADETS +54,,1,LARIBI ANISSA,TEAM ONTARIO
+54,KUMITE INDIVIDUAL FEMALE CADETS,2,GORDON LEA,TEAM ONTARIO
+54,KUMITE INDIVIDUAL FEMALE CADETS,3,CHARRON KAYLEE,TEAM QUÉBEC
+54,KUMITE INDIVIDUAL FEMALE CADETS,4,LEE SHALENE,TEAM BRITISH COLUMBIA
+54,KUMITE INDIVIDUAL FEMALE CADETS,5,PRUDOVSKI NOAM,TEAM ONTARIO
+54,KUMITE INDIVIDUAL FEMALE CADETS,5,KITAOKA AYA,TEAM BRITISH COLUMBIA
+54,KUMITE INDIVIDUAL FEMALE CADETS,7,RUTHERFORD BROOKLYNN,KARATE NOVA SCOTIA
+54,KUMITE INDIVIDUAL FEMALE CADETS,7,MARTIN CELINE,TEAM ALBERTA
+54,KUMITE INDIVIDUAL FEMALE CADETS,9,MOKARNIA MYRIAM,TEAM QUÉBEC
KUMITE INDIVIDUAL FEMALE CADETS -47,,1,DEVEAU TRYSTEN,KARATE NOVA SCOTIA
-47,KUMITE INDIVIDUAL FEMALE CADETS,2,BRATIC MELISSA,TEAM ONTARIO

-47,KUMITE INDIVIDUAL FEMALE CADETS,3,GENDRON STÉPHANIE,TEAM QUÉBEC
-47,KUMITE INDIVIDUAL FEMALE CADETS,4,CHAN ISABEL,TEAM BRITISH COLUMBIA
-47,KUMITE INDIVIDUAL FEMALE CADETS,5,CARRIÈRE VICKY,TEAM QUÉBEC
-47,KUMITE INDIVIDUAL FEMALE CADETS,5,VUNG VANESSA,TEAM BRITISH COLUMBIA
-47,KUMITE INDIVIDUAL FEMALE CADETS,7,VIJH RUCHI,TEAM ONTARIO
-47,KUMITE INDIVIDUAL FEMALE CADETS,7,AHLUWALIA VARISHA,TEAM BRITISH COLUMBIA
KUMITE INDIVIDUAL FEMALE CADETS -54,,1,FURUMOTO-DESHAIES LISA,TEAM QUÉBEC
-54,KUMITE INDIVIDUAL FEMALE CADETS,2,ZABORNIAK ALEXANDRA,TEAM BRITISH COLUMBIA
-54,KUMITE INDIVIDUAL FEMALE CADETS,3,BOUDREAU ROXANNE,TEAM QUÉBEC
